choraleNumber,voiceType,amountOFArpeggiation,averageMelodicInterval,averageNumberOfIndependentVoices,durationOfMelodicArcs,repeatedNotes,melodicTempiFullChorale,rangeFullChorale,stepwiseMinusChromaticFull,majorMinusMinorFull,dissonantChordsFull
168, W,0.259887006,2.231638418,1,6.125,0.124293785,0.139999467,-0.706093096,0.361581921,-0.083333333,0.583333333
169, W,0.305555556,2.157407407,1,9.4,0.185185185,-0.38639443,-1.076379954,0.310185185,0.320987654,0.518518519
170, W,0.313333333,2.513333333,1,16.58823529,0.17,0.725711622,1.40528699,0.3,0.138888889,0.564814815
171, W,0.362962963,2.318518519,1,5.526315789,0.177777778,-0.81323757,-0.245222881,0.318518519,-0.020408163,0.510204082
172, W,0.267924528,2.211320755,1,19.92,0.116981132,2.318615282,1.814963389,0.38490566,0.086294416,0.512690355
173, W,0.311594203,1.927536232,1,14.11111111,0.188405797,0.227795558,-0.587924473,0.402173913,0.211538462,0.519230769
174, W,0.311320755,2.216981132,1,11.17647059,0.193396226,-0.630913139,-0.060079452,0.396226415,0.291666667,0.541666667
175, W,0.294545455,1.912727273,1,18.14285714,0.185454545,0.513186744,0.838052428,0.421818182,0.22826087,0.510869565
176, W,0.258741259,2.195804196,1,16.5,0.146853147,0.870686799,0.838052428,0.433566434,0.240740741,0.537037037
177, W,0.266211604,2.266211604,1,13.45,0.122866894,1.092791815,-0.138858534,0.433447099,0.223214286,0.544642857
178, W,0.255681818,2.420454545,1,5.96,0.090909091,1.21553072,-1.604224975,0.403409091,0.314285714,0.514285714
179, W,0.227272727,2.170454545,1,9.9375,0.096590909,2.061281728,-2.053290915,0.454545455,0.176470588,0.529411765
180, W,0.305921053,1.842105263,1,13.28571429,0.223684211,-0.577587316,-2.541746396,0.378289474,0.260504202,0.529411765
181, W,0.24260355,1.99408284,1,7.736842105,0.124260355,0.647140298,-0.666703555,0.384615385,0.105263158,0.456140351
182, W,0.275229358,2.178899083,1,8.863636364,0.123853211,1.174676622,-1.115769495,0.344036697,0.158536585,0.524390244
183, W,0.262672811,2.294930876,1,12.3125,0.124423963,-0.833808389,-1.261523383,0.410138249,0.351351351,0.594594595
184, W,0.219430486,2.420435511,1,21.88461538,0.05360134,0.956362589,2.488562299,0.391959799,0.011857708,0.462450593
185, W,0.325153374,2.45398773,1,7.833333333,0.159509202,1.354984197,-0.509145392,0.380368098,0.233333333,0.5
